Leaf type	Leaf arrangement	Number of sepals, petals or tepals	Fusion of sepals and petals	Stamen number	Fruit type (general)	Flower description
simple	alternate	4 or 5	unfused or fused	4 or 5	dry & splits open or dry & doesn't split open	superior ovary	Cuscuta indecora
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Heliotropium amplexicaule
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Lespedeza procumbens
compound or simple	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Astrantia major
compound	alternate	4 or 5	unfused or fused	10	dry & splits open or dry & doesn't split open	superior ovary & hypanthium	Trifolium tomentosum
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Trifolium hybridum
simple	alternate	3 or 4	unfused or fused	1	dry & doesn't split open	superior ovary	Chenopodium glaucum
simple	alternate	6	unfused or fused	6	dry & doesn't split open	superior ovary	Rumex maritimus
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Desmodium canadense
simple	alternate	2	unfused or fused	4	dry & splits open	superior ovary	Castilleja exserta
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Turritis glabra
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Braya humilis
simple	alternate	4	unfused	8	dry & doesn't split open	inferior ovary	Oenothera filiformis
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Chenopodium urbicum
simple	alternate	5	unfused or fused	10	dry & splits open	superior ovary & hypanthium or superior ovary or inferior ovary	Aizopsis aizoon
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Erysimum inconspicuum
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Phacelia tanacetifolia
simple	alternate	5	unfused or fused	6 or 7 or 8	dry & doesn't split open	superior ovary & hypanthium or superior ovary or inferior ovary	Fallopia sachalinensis
simple	alternate	5	unfused or fused	5	dry & splits open	inferior ovary	Gadellia lactiflora
simple	alternate	4 or 5	unfused	8 or 9 or 10	dry & splits open	superior ovary	Hypopitys monotropa
simple	alternate or opposite	6	unfused or fused	12	dry & splits open	superior ovary & hypanthium	Lythrum junceum
simple	alternate	5	unfused or fused	13	dry & doesn't split open	superior ovary	Alcea rosea
compound	alternate	4	unfused or fused	6	dry & splits open	superior ovary	Lamprocapnos spectabilis
simple	alternate	4 or 5	unfused or fused	4 or 5	dry & doesn't split open	superior ovary	Dysphania ambrosioides
simple	alternate	6 or 7	unfused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Sedum ochroleucum
compound	alternate	4	unfused	6	dry & splits open	superior ovary	Cardamine impatiens
simple	alternate	5	unfused or fused	4	dry & splits open	superior ovary	Kickxia spuria
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Erysimum cheiranthoides
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Medicago monantha
simple	alternate	5	unfused	13	dry & doesn't split open	superior ovary	Ranunculus ambigens
simple	alternate	5	unfused or fused	4	dry & splits open	superior ovary	Schwalbea americana
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Lespedeza stuevei
simple	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Ulex europaeus
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Verbascum blattaria
simple	alternate	6	unfused or fused	6	dry & doesn't split open	superior ovary	Rumex altissimus
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Aurinia saxatilis
simple	alternate	5	unfused or fused	4 or 5	dry & doesn't split open	superior ovary	Chenopodium pratericola
simple	alternate or opposite	5	unfused or fused	4	dry & splits open	superior ovary	Antirrhinum majus
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Petroselinum crispum
simple	alternate or basal	5	unfused	5	dry & doesn't split open	inferior ovary	Hydrocotyle verticillata
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Medicago minima
simple	alternate	6	unfused or fused	6	dry & doesn't split open	superior ovary	Rumex violascens
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Osmorhiza longistylis
simple	alternate	4 or 5	unfused or fused	5 or 6	dry & doesn't split open	superior ovary	Persicaria lapathifolia
simple	alternate or opposite	5	unfused or fused	1	dry & splits open	superior ovary	Veronica wormskjoldii
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Diplotaxis muralis
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Dysphania anthelmintica
compound or simple	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Zizia aurea
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Persicaria setacea
simple	alternate	4	unfused	8	dry & splits open	inferior ovary	Clarkia rhomboidea
compound	alternate	5	unfused	13	dry & splits open	superior ovary	Nigella damascena
compound	alternate	4	unfused or fused	6	dry & doesn't split open	superior ovary	Fumaria officinalis
compound	alternate	4 or 5	unfused	7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary	Thalictrum pubescens
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Persicaria longiseta
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Angelica atropurpurea
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Arabidopsis lyrata
simple	alternate	4	unfused	13	dry & splits open	superior ovary	Papaver rhoeas
simple	basal	5	unfused or fused	10	dry & splits open	superior ovary	Pyrola asarifolia
compound	alternate	4	unfused	12 or 13	dry & doesn't split open	superior ovary & hypanthium	Sanguisorba minor
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Nicotiana rustica
simple	alternate	0	unfused	1	dry & splits open or dry & doesn't split open	superior ovary	Euphorbia esula
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Rorippa palustris
simple	alternate or opposite	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused or fused	0 or 5	dry & doesn't split open	superior ovary	Atriplex hortensis
simple	alternate or opposite	5	unfused or fused	4	dry & splits open	superior ovary	Chelone obliqua
simple	alternate or opposite	4	unfused or fused	8	dry & splits open	inferior ovary	Epilobium strictum
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Phacelia linearis
simple	alternate	4 or 5	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary	Chenopodium bonus-henricus
compound	alternate	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary & hypanthium or superior ovary or inferior ovary	Gillenia trifoliata
compound	alternate	4 or 5	unfused or fused	10	dry & splits open or dry & doesn't split open	superior ovary & hypanthium	Trifolium dalmaticum
simple	alternate	5	unfused or fused	5	dry & splits open	inferior ovary	Lobelia inflata
simple	alternate	5	unfused or fused	3 or 4 or 5 or 6 or 7 or 8	dry & doesn't split open	superior ovary	Polygonum arenarium
compound	alternate	4 or 5	unfused or fused	10	dry & splits open or dry & doesn't split open	superior ovary & hypanthium	Trifolium incarnatum
simple	alternate	5	unfused or fused	4 or 5	dry & splits open	superior ovary	Cuscuta approximata
compound or simple	alternate	5	unfused	10 or 11 or 12 or 13	dry & doesn't split open	superior ovary & hypanthium	Geum laciniatum
simple	alternate	4	unfused	6	dry & doesn't split open	superior ovary	Euclidium syriacum
simple	basal	4	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Subularia aquatica
compound or simple	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Coriandrum sativum
simple	alternate	5	unfused or fused	5	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Salsola kali
simple	alternate	5	unfused or fused	5	dry & splits open	inferior ovary	Campanula punctata
simple	alternate	6	unfused or fused	6	dry & doesn't split open	superior ovary	Rumex pallidus
compound	alternate	5	unfused	13	dry & doesn't split open	superior ovary & hypanthium	Geum urbanum
simple	alternate	5	unfused or fused	5	dry & splits open	inferior ovary	Campanula rapunculoides
compound	alternate	5	unfused	13	dry & doesn't split open	superior ovary & hypanthium	Filipendula vulgaris
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Strophostyles helvola
simple	alternate	5	unfused or fused	5 or 13	dry & splits open	superior ovary	Abelmoschus esculentus
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Draba arabisans
simple	alternate	5	unfused or fused	6 or 7 or 8	dry & doesn't split open	superior ovary	Fallopia cilinodis
compound or simple	alternate	5	unfused	13	dry & doesn't split open	superior ovary & hypanthium	Geum vernum
compound	alternate	5	unfused	11 or 12 or 13	dry & doesn't split open	superior ovary & hypanthium	Geum aleppicum
simple	basal	5	unfused	5	dry & doesn't split open	inferior ovary	Lilaeopsis chinensis
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Amsinckia eastwoodiae
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Heracleum maximum
simple	alternate or opposite	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused or fused	4	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Sesamum orientale
simple	alternate	4 or 5	unfused or fused	4 or 5	dry & splits open	superior ovary	Cuscuta europaea
simple	alternate	5	unfused	10	dry & splits open	superior ovary & hypanthium	Mitella prostrata
simple	alternate	5	unfused or fused	5	dry & splits open	inferior ovary	Jasione montana
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Phacelia brachyloba
compound	alternate or basal	3 or 5	unfused or fused	1	dry & splits open	superior ovary	Utricularia intermedia
simple	alternate or basal	5	unfused or fused	5 or 6 or 7 or 8	dry & doesn't split open	superior ovary	Bistorta vivipara
simple	alternate	5	unfused or fused	6 or 7 or 8	dry & doesn't split open	superior ovary	Persicaria perfoliata
simple	alternate	3 or 5	unfused or fused	8	dry & splits open	superior ovary	Polygala polygama
simple	alternate	5	unfused or fused	5	dry & splits open	inferior ovary	Triodanis perfoliata
simple	alternate	5	unfused	8	dry & doesn't split open	superior ovary	Fagopyrum esculentum
compound	alternate	5	unfused	13	dry & doesn't split open	superior ovary & hypanthium	Geum virginianum
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Erysimum repandum
simple	alternate	5	unfused or fused	8	dry & doesn't split open	superior ovary	Polygonum douglasii
simple	alternate	4	unfused	6	dry & doesn't split open	superior ovary	Neslia paniculata
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Vicia faba
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Ellisia nyctelea
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Hesperis matronalis
simple	opposite	5	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Calandrinia ciliata
simple	alternate	5	unfused or fused	5 or 8	dry & doesn't split open	superior ovary	Persicaria chinensis
simple	alternate	6	unfused or fused	6	dry & doesn't split open	superior ovary	Rumex britannica
simple	alternate	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary or inferior ovary	Portulaca grandiflora
simple	alternate	6	unfused or fused	6	dry & doesn't split open	superior ovary	Rumex hastatulus
simple	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Eryngium planum
simple	alternate	5	unfused	1 or 5	dry & splits open	superior ovary	Viola pubescens
compound	alternate	5	unfused	13	dry & doesn't split open	superior ovary & hypanthium	Potentilla erecta
simple	alternate	5	unfused	5	dry & splits open	superior ovary & hypanthium	Heuchera americana
compound or simple	alternate	4	unfused	6	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Lepidium squamatum
simple	alternate	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary	Ranunculus flammula
simple	alternate	5	unfused or fused	5	dry & splits open	inferior ovary	Campanula latifolia
simple	alternate	4	unfused	8	dry & splits open	inferior ovary	Oenothera grandiflora
simple	alternate	4 or 5	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary & hypanthium	Scorpiurus muricatus
simple	alternate or opposite	5	unfused or fused	5	dry & doesn't split open	superior ovary	Plagiobothrys trachycarpus
simple	alternate	6	unfused or fused	6	dry & doesn't split open	superior ovary	Rumex patientia
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Lobularia maritima
?	none	5	unfused or fused	4	dry & splits open	superior ovary	Orobanche uniflora
simple	alternate	5	unfused or fused	8	dry & doesn't split open	superior ovary	Persicaria sagittata
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Sisymbrium irio
simple	alternate or opposite	6 or 7	unfused	12 or 13	fleshy	superior ovary	Podophyllum peltatum
simple	alternate	5	unfused or fused	4	dry & splits open	superior ovary	Digitalis lutea
simple	alternate	3	unfused	0 or 3	dry & splits open	superior ovary	Amaranthus albus
compound or simple	alternate	4	unfused	6	dry & doesn't split open	superior ovary	Chorispora tenella
simple	alternate	3 or 5	unfused or fused	8	dry & splits open	superior ovary	Polygala nuttallii
compound	alternate	5	unfused or fused	5	fleshy	superior ovary	Solanum tuberosum
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Salpiglossis sinuata
simple	alternate or basal	4 or 5	unfused or fused	1	dry & splits open	superior ovary	Utricularia subulata
simple	opposite	5	unfused	10	dry & doesn't split open	superior ovary	Geranium dissectum
simple	alternate	5	unfused	3 or 4 or 5	dry & splits open	superior ovary	Amaranthus retroflexus
simple	alternate	5	unfused	9 or 10 or 11 or 12	fleshy	superior ovary	Phytolacca americana
simple	alternate	5	unfused or fused	8 or 10	fleshy	superior ovary	Gaultheria procumbens
simple	alternate	4 or 5	unfused	4 or 5	fleshy	inferior ovary	Geocaulon lividum
simple	alternate or opposite	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused or fused	0 or 5	dry & doesn't split open	superior ovary	Atriplex cristata
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Lespedeza violacea
simple	alternate	6	unfused or fused	6	dry & doesn't split open	superior ovary	Rumex occidentalis
compound	alternate	5	unfused or fused	5	dry & splits open	superior ovary & hypanthium	Chamaecrista nictitans
simple	alternate	5	unfused	1 or 5	dry & splits open	superior ovary	Viola adunca
simple	alternate	5	unfused	8	dry & doesn't split open	superior ovary	Polygonum articulatum
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Conringia orientalis
simple	alternate or opposite	5	unfused or fused	4	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Proboscidea louisianica
simple	alternate	5	unfused	13	dry & doesn't split open	superior ovary	Ranunculus gmelinii
simple	alternate or opposite	4	unfused	6	dry & splits open	superior ovary	Draba reptans
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Brassica napus
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Lepidium latifolium
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Lespedeza repens
compound or simple	alternate or basal	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary	Ranunculus repens
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Ipomopsis rubra
compound	alternate or whorled	5	unfused or fused	10	dry & splits open	superior ovary	Oxalis corniculata
simple	alternate	5	unfused or fused	3 or 4 or 5 or 6 or 7 or 8	dry & doesn't split open	superior ovary	Polygonum ramosissimum
simple	alternate or opposite or whorled	5	unfused or fused	5	dry & splits open	superior ovary	Hottonia inflata
simple	alternate	2 or 4 or 5	unfused or fused	4	dry & splits open	superior ovary	Orobanche minor
simple	alternate	5	unfused or fused	5 or 6 or 7 or 8	dry & doesn't split open	superior ovary	Persicaria orientalis
compound	alternate	4	unfused	6	dry & splits open	superior ovary	Peritoma serrulata
simple	basal	5	unfused or fused	10	dry & splits open	superior ovary	Pyrola minor
simple	alternate	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused or fused	0 or 5	dry & doesn't split open	superior ovary	Atriplex rosea
simple	alternate	4	unfused	6	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Lepidium heterophyllum
simple	alternate or opposite or whorled	6	unfused	12	dry & splits open	superior ovary & hypanthium	Lythrum salicaria
simple	alternate or opposite	2 or 4	unfused or fused	4	dry & splits open	superior ovary	Pedicularis lanceolata
compound	alternate	4 or 5	unfused	7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary	Thalictrum revolutum
simple	basal	5	unfused or fused	10	dry & splits open	superior ovary	Pyrola elliptica
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Echium vulgare
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Physalis grisea
simple	alternate or basal	3 or 5	unfused or fused	1	dry & splits open	superior ovary	Utricularia cornuta
simple	alternate or opposite	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused or fused	0 or 5	dry & doesn't split open	superior ovary	Atriplex sibirica
compound	alternate	4	unfused	6	dry & splits open	superior ovary	Cardamine parviflora
simple	alternate	4	unfused	1 or 3 or 4 or 5 or 6	dry & doesn't split open	superior ovary	Oxyria digyna
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Daucus carota
simple	alternate	4	unfused	8	dry & doesn't split open	inferior ovary	Oenothera curtiflora
simple	alternate	5	unfused or fused	5 or 6 or 7 or 8	dry & doesn't split open	superior ovary	Persicaria nepalensis
compound	alternate	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary & hypanthium	Agrimonia parviflora
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Tephrosia virginiana
compound or simple	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Zizia aptera
simple	alternate	3 or 4	unfused or fused	1 or 3	dry & doesn't split open	superior ovary	Chenopodium rubrum
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Onosmodium bejariense
compound or simple	alternate	4	unfused	6	dry & doesn't split open	superior ovary	Raphanus raphanistrum
simple	alternate or opposite	5 or 0	unfused or fused	5	dry & doesn't split open	superior ovary	Atriplex prostrata
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Persicaria amphibia
simple	alternate	4 or 5	unfused or fused	6 or 7 or 8	dry & doesn't split open	superior ovary	Persicaria hydropiper
compound	alternate	4 or 5	unfused	10 or 11 or 12 or 13	dry & doesn't split open	superior ovary & hypanthium	Potentilla argentea
compound or simple	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Thaspium trifoliatum
simple	alternate	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused or fused	3	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Polycnemum majus
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Lespedeza angustifolia
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Myrrhis odorata
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Vicia sativa
simple	alternate	3	unfused or fused	1 or 3	dry & doesn't split open	superior ovary	Chenopodium foliosum
simple	alternate	2 or 4	unfused or fused	4	dry & splits open	superior ovary	Pedicularis canadensis
simple	alternate	5	unfused or fused	10	fleshy	superior ovary	Epigaea repens
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Chenopodium simplex
simple	alternate	5	unfused or fused	1 or 3 or 4 or 5	dry & doesn't split open	superior ovary	Dysphania botrys
simple	alternate or whorled	5	unfused	3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Lechea intermedia
simple	alternate	5	unfused or fused	13	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Althaea officinalis
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Alyssum alyssoides
simple	alternate or opposite or whorled	5	unfused or fused	4	dry & splits open	superior ovary	Linaria maroccana
compound	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Polemonium vanbruntiae
compound	alternate	4 or 5	unfused or fused	9 or 10	dry & doesn't split open	superior ovary & hypanthium	Dalea leporina
simple	alternate	5	unfused or fused	4	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Browallia americana
simple	alternate	5	unfused or fused	13	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Sida hermaphrodita
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Gilia interior
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Physalis heterophylla
compound or simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Solanum rostratum
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Vicia tetrasperma
simple	alternate	3 or 4 or 5	unfused	0 or 3 or 4 or 5	dry & splits open	superior ovary	Amaranthus powellii
simple	basal	5	unfused	1 or 5	dry & splits open	superior ovary	Viola sororia
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary & hypanthium or inferior ovary	Samolus valerandi
simple	alternate	5	unfused or fused	13	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Abutilon pictum
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Alliaria petiolata
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Melilotus indicus
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Collomia linearis
simple	alternate	5	unfused or fused	5	dry & doesn't split open	inferior ovary	Sicyos angulatus
simple	alternate	4	unfused	8	dry & splits open	inferior ovary	Camissonia bistorta
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Datura stramonium
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Lathyrus sylvestris
simple	basal	5	unfused or fused	10	dry & splits open	superior ovary	Pyrola americana
compound	alternate	4 or 5	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary & hypanthium	Vicia hirsuta
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Glycyrrhiza lepidota
simple	alternate or basal	1	unfused or fused	6	dry & splits open	inferior ovary	Aristolochia clematitis
simple	alternate	5	unfused or fused	3	fleshy	inferior ovary	Cucurbita pepo
simple	alternate or opposite	4	unfused or fused	4 or 5 or 6 or 7 or 8	dry & splits open	superior ovary & hypanthium	Chrysosplenium americanum
simple	alternate	5	unfused or fused	5	dry & splits open or dry & doesn't split open	superior ovary	Cuscuta pentagona
simple	alternate	3	unfused or fused	6	dry & splits open	inferior ovary	Endodeca serpentaria
simple	alternate	5	unfused or fused	8	dry & doesn't split open	superior ovary & hypanthium or superior ovary or inferior ovary	Fallopia japonica
compound or simple	alternate	5	unfused	13	dry & doesn't split open	superior ovary & hypanthium	Geum peckii
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Medicago rigidula
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Phacelia viscida
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Solanum triflorum
simple	alternate	5	unfused or fused	6 or 7 or 8	dry & doesn't split open	superior ovary	Persicaria pensylvanica
simple	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Bupleurum odontites
compound	alternate	4 or 5	unfused	7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary	Thalictrum dasycarpum
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Verbascum thapsus
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Securigera varia
simple	alternate	5	unfused or fused	13	dry & splits open	superior ovary	Argemone mexicana
simple	alternate	5	unfused	10	dry & splits open	superior ovary & hypanthium or inferior ovary	Saxifraga aizoides
simple	alternate	5	unfused or fused	4 or 5	dry & splits open or dry & doesn't split open	superior ovary	Cuscuta compacta
simple	alternate	5	unfused or fused	0 or 3	fleshy	inferior ovary	Cucumis melo
compound	alternate	4	unfused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Cardamine incisa
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Lespedeza virginica
simple	alternate	4	unfused or fused	6 or 7 or 8	dry & doesn't split open	superior ovary	Persicaria arifolia
simple	alternate	5	unfused	5	dry & splits open	superior ovary	Hybanthus concolor
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Phacelia distans
compound	alternate	4 or 5	unfused or fused	10	dry & splits open or dry & doesn't split open	superior ovary & hypanthium	Trifolium subterraneum
simple	alternate	5	unfused or fused	5 or 6 or 7 or 8	dry & doesn't split open	superior ovary	Polygonum aviculare
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Solanum citrullifolium
simple	basal	5	unfused	10	dry & splits open	superior ovary & hypanthium	Tiarella cordifolia
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Lepidium campestre
compound or simple	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Sium suave
simple	alternate	5	unfused or fused	6 or 8	dry & doesn't split open	superior ovary	Fallopia baldschuanica
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Calystegia sepium
compound	alternate	5	unfused or fused	5	fleshy	superior ovary	Solanum lycopersicon
simple	alternate	5	unfused or fused	13	dry & splits open or dry & doesn't split open	superior ovary	Abutilon theophrasti
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Baptisia australis
simple	alternate	4	unfused	6	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Lepidium draba
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Ipomoea purpurea
simple	alternate	6	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary	Rumex acetosa
simple	alternate	3 or 4 or 5 or 0	unfused or fused	5	dry & doesn't split open	superior ovary	Crotonopsis elliptica
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Medicago lupulina
simple	alternate or basal	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary	Ranunculus cymbalaria
simple	alternate	4	unfused or fused	8	dry & splits open	inferior ovary	Oenothera biennis
simple	alternate	5	unfused or fused	8	dry & doesn't split open	superior ovary	Fallopia cristata
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Vicia villosa
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Brassica nigra
simple	alternate	5	unfused or fused	8 or 9 or 10 or 11 or 12	dry & splits open	superior ovary	Croton texensis
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Aethusa cynapium
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Erysimum hieraciifolium
compound	alternate	5	unfused	13	dry & doesn't split open	superior ovary & hypanthium	Potentilla pulcherrima
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Calystegia spithamaea
compound or simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Solanum dulcamara
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Cynoglossum microglochin
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Cardamine douglassii
simple	alternate	4	unfused or fused	4	dry & splits open	superior ovary	Bartonia paniculata
