Habitat	Flower petal color	Leaf type	Leaf blade edges	Flower symmetry	Number of sepals, petals or tepals	Fusion of sepals and petals	Stamen number	Fruit type	Fruit length (mm)	Bulblets replace flowers	Carpels fused	Cleistogamous flowers	Corolla palate	Epicalyx	Epicalyx number of parts	Flower description	Flower reproductive parts	Form of style	Fused stamen clusters	Hypanthium	Inner tepals (Rumex)	Marks on petals	Nectar spur	Number of carpels	Number of pistils	Number of styles	Ovary position	Petal and sepal colors	Petal appearance	Petal folds or pleats	Petal hairs (Viola)	Petal length relative to sepals	Petal number	Petal tips (Cuscuta)	Reproductive system	Scales inside corolla	Sepal and petal color	Sepal appendages	Sepal length	Sepal number	Sepals fused only to sepals	Stamen attachment	Stamen position relative to petals	Stamens fused	Staminodes	Stigma position	Umbel flower reproductive parts	Upper lip of bilabiate corolla	Achene relative orientation	Achene shape	Achene surface (Polygonum)	Achene type	Berry color	Capsule color (Viola)	Fruit (pyxis) dehiscence	Fruit features (Brassicaceae)	Fruit locules	Fruit type (specific)	Legumes (Fabaceae)	Mericarp length	Mericarp segment shape (Desmodium)	Spots or streaks on berries	Ovary stipe	Rows of seeds in fruit (Brassicaceae)	Schizocarpic fruit compression	Schizocarpic fruit segments	Seed relative length	Seed surface	Wings on fruit	Fruits with thorn-like defensive structures	Leaves have glandular dots or scales	Sap	Sap color	Growth form	Young leaf color	Spines on plant	Bracteole number (Apiaceae)	Final leaf segment length (compound lvs only)	Final leaf segment length to width ratio (compound lvs only)	Hairs on underside of leaf	Hairs on upper side of leaf	Leaf arrangement	Leaf blade base	Leaf blade base shape	Leaf blade hairs	Leaf blade length	Leaf blade shape	Leaf surface color	Leaf blade width	Leaf spines	Leaf stalks	Leaf stalk attaches to leaf	Leaf stalk base	Leaf teeth and lobes	Leaflet number	Leaves per node	Pinnately compound leaves	Stipule features	Stipules	Branched tendrils	Hair between stem nodes	Leaves on flowering stem	Plant height (cm)	Tendril origin	Tendrils	Corolla morphology	Inflorescence	Petal and sepal arrangement	Petal length	Capsule ribs	Capsule splits	Leaf tip	Hairs between stem nodes	Anther with pink, reddish, or purplish tint	Anther tube length (mm)	Calyx growth after flowering	Calyx symmetry	The petal margins have cilia	Filament surface	Flower diameter (mm)	Flower number	Flower orientation	Fringed petal edges	Hairs on flower stalk	Hairs on inflorescence axis	Length of peduncle	Number of branches in umbel	Perianth shape	Petal narrows at the base	Petal outline	Petal tip shape	Sepal appearance	Sepal color	Sepal shape	Sepal uniformity	Stamen lengths	The stigma protrudes beyond the mouth of the corolla	Fruit shape	Fruit stalk orientation	Fruit width	Hairs on fruit	Bracteoles	Final leaf segment width (compound lvs only)	Floral bract texture	Floral bracts	Hairs on leaf stalk	Hooked hairs on underside of leaf	Inflated hairs on leaf	Leaf blade base symmetry	There is a noticeable powdery or waxy bloom on the underside of the leaf	Leaf blade flatness	Leaf blade primary vein pattern	Leaf blade texture	Leaf blade vein pattern	Leaf blade veins	Leaf hair orientation	The upper side of the leaf	Leaf stalk length	Tufts (clusters) of small leaves in axils	Leaf appearance change from the base to further up on the stem	Leaf appearance along the stem	Leaflet petiolules	Stipels	Plant odor	Direction of stem hairs	Hooked hairs on stem between nodes	The stem has a powdery or waxy film on it that can be rubbed away	Stem nodes swollen	Stem orientation	Stem spacing	The petals have at least one nectary	Petal width	Sepal texture	Hypanthium length	Inflorescence length	Style length (mm)	The stipule margins have teeth on them	The stipules are fused to the petioles for some or most of their length	Stipule length (mm)	Flowering stem width	The stems are succulent	Stamen length	Flower length	Anther attachment	Inflorescence width	The sepals have cilia on their edges	Sepal special features	Sepal tip shape	Relative fruit length	Anther length	Filament length (mm)	Inflorescence type	Fruit length to width ratio	Stigma length (mm)	Teeth per side of leaf blade				
terrestrial	blue to purple||pink to red||white	simple	lobes||teeth and lobes	radially symmetrical	5	not fused||fused into a cup or tube	>=13	dry but does not split open	?	no	fused	no	no	yes	3	superior ovary and no hypanthium	both pollen- and seed-producing parts	branched above the base	1	no	?	no marks	no	12^15	1	1	above the point of petal  attachment	blue to purple||pink to red||white	thin, delicate, pigmented	no	?	petals longer than sepals	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	4^6	5	yes||no	attached at the bases of petals||attached at the bases of petals	?	yes	no	on the inner surface of the style	?	?	?	?	?	?	?	?	?	?	>=6	splits into sections with one or more seeds each (schizocarp)	?	?	?	?	no	?	flattened perpendicular to the commissure||not flattened	9^15	height is greater than width	smooth or without markings	no	no	no	clear and watery	clear	herb	green	no	0	0	0	fuzzy or hairy	fuzzy or hairy	1 leaf per node (alternate)	has stalk (petiole)	heart-shaped with rounded lobes at the base (cordate)	simple hairs with no glands	20^60	heart-shaped with backward-facing rounded lobes (cordate), or arrow-shaped with backward-facing pointed lobes (sagittate)||roughly circular as wide as long (orbicular)||kidney-shaped; wider than long (reniform)	uniform	20^60	no	yes	at the basal margin	is narrow where it attaches to the stem	outward-pointing teeth||rounded teeth	?	one	?	?	yes	?	yes	at least one full leaf above the base	16^60	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	6^14	?	?	?	are branched||plain, without glands or branches, and not tangled	no	0	no	radially symmetrical	no	with rough hairs or scales	?	3^6	points upwards||angled outwards	no	?	?	10^40	0	cup-shaped (cupuliform)	gradually or does not narrow	?	with a blunt or rounded apex and a notch at the center (retuse)	green or brown, and leaf-like in texture	green to brown	widest below the middle and broadly tapering at both ends (ovate)||roughly triangular	all about the same size	all approximately the same length	no	flat or strongly compressed||spherical	point upward or spread or curve outward	5^7	yes	yes	0	green, with a leaf-like texture	yes	yes	no	no	symmetrical	no	flat (planar) at the edges	the major veins radiate out from one point at the base	?	the major veins form a net-like pattern due to splitting and rejoining	?	?	is dull or slightly shiny	50^200	?	gradual	all leaves are nearly similar in size, teeth, and length of stalks	?	?	no	pressed flat against the plant, pointing towards the tip	no	no	no	upright or angled outwards||trail at the base, but may turn upwards at the tips	solitary plant||a few plants are growing together	?	?	?	?	?	?	?	?	?	?	no	?	?	?	10^15	yes	?	tapers to a very narrow point (acuminate)	?	?	?	?	?	?	?	Malva neglecta	Malva	Malvaceae	Malvales
terrestrial	blue to purple||white	simple	lobes||teeth and lobes	radially symmetrical	5	not fused||fused into a cup or tube	>=13	dry but does not split open	?	no	fused	no	no	yes	3	superior ovary and no hypanthium	both pollen- and seed-producing parts	branched above the base	1	no	?	?	no	9^15	1	1	above the point of petal  attachment	blue to purple||white	thin, delicate, pigmented	no	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	yes	attached at the bases of petals||not attached to petals	?	yes	no	on the inner surface of the style	?	?	?	?	?	?	?	?	?	?	>=6	splits into sections with one or more seeds each (schizocarp)	?	?	?	?	no	?	flattened perpendicular to the commissure||not flattened	9^15	?	?	no||yes	no	no	clear and watery	clear	herb	green	no	0	0	0	fuzzy or hairy	not hairy, or with very few hairs	1 leaf per node (alternate)	has stalk (petiole)	heart-shaped with rounded lobes at the base (cordate)	?	20^60	roughly circular as wide as long (orbicular)||kidney-shaped; wider than long (reniform)	uniform	?	no	yes	?	?	rounded teeth	?	one	?	?	yes	?	yes	at least one full leaf above the base	<=100	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	?	rounded, with no point	are branched||plain, without glands or branches, and not tangled	?	?	yes, and it partially covers the fruit	radially symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	cup-shaped (cupuliform)	?	?	?	?	?	?	?	?	?	longer than wide and with rounded ends (obloid)	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	no	?	no	?	?	upright or angled outwards||trail at the base, but may turn upwards at the tips	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Malva parviflora	Malva	Malvaceae	Malvales
terrestrial	blue to purple||pink to red||white	simple	lobes||teeth and lobes	radially symmetrical	5	not fused||fused into a cup or tube	>=13	dry but does not split open	?	no	fused	no	no	yes	3	superior ovary and no hypanthium	both pollen- and seed-producing parts	branched above the base	1	no	?	?	no	8^15	1	1	above the point of petal  attachment	blue to purple||pink to red||white	thin, delicate, pigmented	no	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	yes	attached at the bases of petals||not attached to petals	?	yes	no	on the inner surface of the style	?	?	?	?	?	?	?	?	?	?	>=6	splits into sections with one or more seeds each (schizocarp)	?	?	?	?	no	?	flattened perpendicular to the commissure||not flattened	9^15	?	?	no||yes	no	no	clear and watery	clear	herb	green	no	0	0	0	fuzzy or hairy	fuzzy or hairy	1 leaf per node (alternate)	has stalk (petiole)	heart-shaped with rounded lobes at the base (cordate)	?	20^60	roughly circular as wide as long (orbicular)||kidney-shaped; wider than long (reniform)	uniform	?	no	yes	?	?	rounded teeth	?	one	?	?	yes	?	yes	at least one full leaf above the base	<=100	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	?	rounded, with no point	are branched||plain, without glands or branches, and not tangled	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	cup-shaped (cupuliform)	?	?	?	?	?	?	?	?	?	longer than wide and with rounded ends (obloid)	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	no	?	no	?	?	upright or angled outwards||trail at the base, but may turn upwards at the tips	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Malva rotundifolia	Malva	Malvaceae	Malvales
terrestrial	blue to purple||pink to red	simple	lobes||teeth and lobes	radially symmetrical	5	not fused||fused into a cup or tube	>=13	dry but does not split open	6^8	no	fused	no	no	yes	3	superior ovary and no hypanthium	both pollen- and seed-producing parts	branched above the base	1	no	?	spots or stripes	no	8^20	1	1	above the point of petal  attachment	blue to purple||pink to red	thin, delicate, pigmented	no	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	yes	attached at the bases of petals||not attached to petals	?	yes	no	on the inner surface of the style	?	?	?	?	?	?	?	?	?	?	>=6	splits into sections with one or more seeds each (schizocarp)	?	?	?	?	no	?	flattened perpendicular to the commissure||not flattened	8^20	?	?	no	no	no	clear and watery	clear	herb	green	no	0	0	0	fuzzy or hairy	not hairy, or with very few hairs	1 leaf per node (alternate)	has stalk (petiole)	heart-shaped with rounded lobes at the base (cordate)	?	40^150	roughly circular as wide as long (orbicular)	uniform	?	no	yes	?	?	?	?	one	?	?	yes	?	yes||no	at least one full leaf above the base	<=100	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	?	?	plain, without glands or branches, and not tangled	?	?	?	radially symmetrical	?	?	?	?	?	?	?	?	?	?	cup-shaped (cupuliform)	?	?	?	?	?	?	?	?	?	longer than wide and with rounded ends (obloid)	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	no	?	no	?	?	upright or angled outwards	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Malva sylvestris	Malva	Malvaceae	Malvales
terrestrial	pink to red||white	simple	lobes||teeth and lobes	radially symmetrical	5	not fused||fused into a cup or tube	>=13	dry but does not split open	8	no	fused	no	no	yes	3	superior ovary and no hypanthium	both pollen- and seed-producing parts	branched above the base	1	no	?	?	no	8^20	>=6	1	above the point of petal  attachment	pink to red||white	thin, delicate, pigmented	no	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	yes	attached at the bases of petals	?	yes	no	on the inner surface of the style	?	?	?	?	?	?	?	?	?	?	>=6	splits into sections with one or more seeds each (schizocarp)	?	?	?	?	no	?	flattened perpendicular to the commissure||not flattened	10^12	?	?	no	no	no	clear and watery	clear	herb	green	no	0	0	0	fuzzy or hairy	fuzzy or hairy	1 leaf per node (alternate)	has stalk (petiole)	rounded at the base	simple hairs with no glands	20^110	kidney-shaped; wider than long (reniform)	uniform	?	no	yes	?	?	rounded teeth||lobes that radiate from the base like a hand	?	one	?	?	yes	?	yes	at least one full leaf above the base	15^120	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	6^8	?	?	rounded, with no point	are branched	?	?	yes, and it partially covers the fruit	radially symmetrical	?	smooth, with no hairs or scales	?	>=3	?	?	?	?	?	?	cup-shaped (cupuliform)	?	?	?	?	?	?	?	?	?	flat or strongly compressed||spherical	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	no	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Malva verticillata	Malva	Malvaceae	Malvales
terrestrial	yellow	simple	teeth	radially symmetrical	5	not fused||fused into a cup or tube	>=13	dry but does not split open	6	no	fused	no	no	yes	3^9	superior ovary and no hypanthium	both pollen- and seed-producing parts	branched above the base	1	no	?	?	no	?	1||>=6	1	above the point of petal  attachment	yellow	thin, delicate, pigmented	no	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	yes	attached at the bases of petals||not attached to petals	?	yes	no	at the tip of the style	?	?	?	?	?	?	?	?	?	?	>=6	splits into sections with one or more seeds each (schizocarp)	?	?	?	?	no	?	flattened perpendicular to the commissure||not flattened	8^14	?	?	no	no	no	clear and watery	clear	small shrub	green	no	0	0	any	fuzzy or hairy	fuzzy or hairy	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow||rounded at the base	branched hairs	30^70	lance-shaped; widest below the middle and tapering at both ends (lanceolate)||widest below the middle and broadly tapering at both ends (ovate)	uniform	8^40	no	yes	?	?	outward-pointing teeth	?	one	?	?	yes	?	yes	at least one full leaf above the base	<=150	?	no	?	?	two cycles	6^9	?	?	sharply pointed (acute)||bluntly pointed (obtuse)	are branched	?	?	yes, and it partially covers the fruit	radially symmetrical	?	?	?	?	?	?	?	?	?	?	cup-shaped (cupuliform)	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	pressed flat against the plant, pointing towards the tip	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Malvastrum coromandelianum	Malvastrum	Malvaceae	Malvales
terrestrial	blue to purple	simple	lobes||teeth and lobes||teeth	bilaterally symmetrical	5	fused into a cup or tube	4	dry and splits open	?	no	fused	no	yes	no	0	superior ovary and no hypanthium	both pollen- and seed-producing parts	?	?	no	?	?	no	?	1	1	above the point of petal  attachment	blue to purple	thin, delicate, pigmented	no	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	yes	attached at the bases of petals	lined up with sepals	?	?	at the tip of the style	?	with 2 lobes	?	?	?	?	?	?	?	?	2	splits along seams to release seeds (capsule)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	herb	green	no	0	0	0	not hairy, or with very few hairs	?	1 leaf per node (alternate)||2 leaves per node (opposite)	has stalk (petiole)	rounded at the base	?	14^70	egg-shaped with the widest point above the middle (obovate)||roughly circular as wide as long (orbicular)||widest below the middle and broadly tapering at both ends (ovate)||spoon-shaped: narrow near the base suddenly widening to a rounded tip (spatulate)	uniform	>=3	no	yes	?	?	forward-pointing teeth||a row of two or more lobes on each side of the central axis	0	two||one	?	?	no	?	no	at least one full leaf above the base	10^15	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	15^20	?	by two main valves, teeth or pores	?	no	?	?	?	radially symmetrical	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	spherical	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	all leaves are nearly similar in size, teeth, and length of stalks||the lower leaves are larger, toothier, and/or on longer stalks than the upper leaves	?	?	no	?	?	?	?	trail at the base, but may turn upwards at the tips	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Mazus miquelii	Mazus	Phrymaceae	Lamiales
terrestrial	blue to purple||white	simple	teeth	bilaterally symmetrical	5	fused into a cup or tube	4	dry and splits open	?	no	fused	no	yes	no	0	superior ovary and no hypanthium	both pollen- and seed-producing parts	?	?	no	?	?	no	?	1	1	above the point of petal  attachment	blue to purple||white	thin, delicate, pigmented	no	?	?	5	?	?	no	is different	no	?	5	yes	attached at the bases of petals	lined up with sepals	?	?	?	?	with 1 lobe	?	?	?	?	?	?	?	?	2	splits along seams to release seeds (capsule)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	herb	green	no	0	0	0	fuzzy or hairy	?	1 leaf per node (alternate)||2 leaves per node (opposite)	has stalk (petiole)	rounded at the base	?	20^60	lance-shaped; widest above the middle (oblanceolate)||egg-shaped with the widest point above the middle (obovate)||widest below the middle and broadly tapering at both ends (ovate)||spoon-shaped: narrow near the base suddenly widening to a rounded tip (spatulate)	uniform	?	no	yes	?	?	?	0	two||one	?	?	no	?	yes	at least one full leaf above the base	<=15	?	no	two prominent lips	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	7^10	?	by two main valves, teeth or pores	?	plain, without glands or branches, and not tangled	?	?	?	radially symmetrical	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	spherical	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	all leaves are nearly similar in size, teeth, and length of stalks||the lower leaves are larger, toothier, and/or on longer stalks than the upper leaves	?	?	?	?	?	?	?	upright or angled outwards	growing in tufts, or compact clusters with closely spaced stems||densely matted together in clumps, cushionlike	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Mazus pumilus	Mazus	Phrymaceae	Lamiales
terrestrial	yellow	compound	teeth	bilaterally symmetrical	5||4	not fused||fused into a cup or tube	10	dry but does not split open	1^10	no	?||solitary||not fused	no	no	no	0	superior ovary and hypanthium	both pollen- and seed-producing parts	knob-like at the tip, and unbranched	2	yes	?	?	no	1	1	1	above the point of petal  attachment	yellow	thin, delicate, pigmented	no||yes	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	?	not attached to petals	?	yes	no	at the tip of the style	?	?	?	?	?	?	?	?	?	?	1	splits into two valves, but has a single carpel like a pea pod (legume)	with prickles||coiled in spirals before they split or fall	?	?	?	?	?	?	0	?	?	no	yes	no	clear and watery	clear	herb	green	no||yes	0	8^20	0.7^1.1	?	?	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	?	egg-shaped with the widest point above the middle (obovate)	with spots, mottlers or stripes	?	no	yes	?	?	?	1^3	one	have a terminal leaflet (odd number of leaflets per axis)	?	yes	?	yes||no	at least one full leaf above the base	3^40	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	2^7	?	?||by two main valves, teeth or pores	?	?	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	1^6	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	no||yes	?	?	?	yes	?	?	?	?	?	?	?	?	?	?	?	?	?	?	gradual	all leaves are nearly similar in size, teeth, and length of stalks	yes	no	no	?	?	?	?	?	?	?	?	?	?	3^100	?	no||yes	yes	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Medicago arabica	Medicago	Fabaceae	Fabales
terrestrial	yellow	compound	teeth	bilaterally symmetrical	5||4	not fused||fused into a cup or tube	10	dry but does not split open	1^10	no	?||solitary||not fused	no	no	no	0	superior ovary and hypanthium	both pollen- and seed-producing parts	knob-like at the tip, and unbranched	2	yes	?	?	no	1	1	1	above the point of petal  attachment	yellow	thin, delicate, pigmented	no||yes	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	?	?	?	yes	no	at the tip of the style	?	?	?	?	?	?	?	?	?	?	1	splits into two valves, but has a single carpel like a pea pod (legume)	with prickles||coiled in spirals before they split or fall	?	?	?	?	?	?	0	?	?	no	yes	no	clear and watery	clear	herb	green	no||yes	0	?	?	?	?	1 leaf per node (alternate)	?	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	?	egg-shaped with the widest point above the middle (obovate)	uniform	?	no	?	?	?	?	1^3	one	have a terminal leaflet (odd number of leaflets per axis)	?	yes	?	yes	at least one full leaf above the base	10^30	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	2^7	?	?||by two main valves, teeth or pores	?	?	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	1^4	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	no||yes	?	?	?	yes	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	yes	no	no	?	?	?	?	?	?	?	?	?	?	3^100	?	no||yes	yes	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Medicago disciformis	Medicago	Fabaceae	Fabales
terrestrial	yellow	compound	teeth	bilaterally symmetrical	5||4	not fused||fused into a cup or tube	10	dry but does not split open	1^10	no	?||solitary||not fused	no	no	no	0	superior ovary and hypanthium	both pollen- and seed-producing parts	knob-like at the tip, and unbranched	2	yes	?	?	no	1	1	1	above the point of petal  attachment	yellow	thin, delicate, pigmented	no||yes	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	?	not attached to petals	?	yes	no	at the tip of the style	?	?	?	?	?	?	?	?	?	?	1	splits into two valves, but has a single carpel like a pea pod (legume)	?	?	?	?	no||yes	?	?	0	height is greater than width	?	no	no	no	clear and watery	clear	herb	green	no	0	5^15	?	fuzzy or hairy	fuzzy or hairy	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	?	very narrow with more or less parallel sides (linear)||egg-shaped with the widest point above the middle (obovate)	uniform	?	no	yes	?	?	forward-pointing teeth	1^3	one	have a terminal leaflet (odd number of leaflets per axis)	?	yes	?	yes	at least one full leaf above the base	30^80	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	5^8	?	?||by two main valves, teeth or pores	sharply pointed (acute)||bluntly pointed (obtuse)||rounded, with no point	?	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	5^40	?	?	?	hairs without glands	2^3	?	?	?	rectangular but with rounded ends (oblong)||egg-shaped with the widest point above the middle (obovate)	?	green or brown, and leaf-like in texture	green to brown	?	?	all approximately the same length	?	?	?	2.5^4	yes	?	?	?	no||yes	?	?	?	symmetrical	?	?	the secondary veins branch off at intervals from the primary vein	leafy (herbaceous)	?	one main vein running from the base towards the tip	?	is dull or slightly shiny	?	?	?	all leaves are nearly similar in size, teeth, and length of stalks	yes	no	no	?	?	?	?	upright or angled outwards||trail at the base, but may turn upwards at the tips	?	?	?	?	?	3^100	?	no||yes	yes	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Medicago falcata	Medicago	Fabaceae	Fabales
terrestrial	yellow	compound	teeth	bilaterally symmetrical	5||4	not fused||fused into a cup or tube	10	dry but does not split open	1^10	no	?||solitary||not fused	no	no	no	0	superior ovary and hypanthium	both pollen- and seed-producing parts	knob-like at the tip, and unbranched	2	yes	?	?	no	1	1	1	above the point of petal  attachment	yellow	thin, delicate, pigmented	no||yes	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	?	not attached to petals	?	yes	no	at the tip of the style	?	?	?	?	?	?	?	?	?	?	1	splits into two valves, but has a single carpel like a pea pod (legume)	with prickles||coiled in spirals before they split or fall	?	?	?	?	?	?	0	?	?	no	yes	no	clear and watery	clear	herb	green	no||yes	0	5^12	1^2.5	?	?	1 leaf per node (alternate)	?	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	?	widest near the middle and tapering at both ends (elliptic)||egg-shaped with the widest point above the middle (obovate)	uniform	?	no	?	?	?	?	1^3	one	have a terminal leaflet (odd number of leaflets per axis)	?	yes	?	yes||no	at least one full leaf above the base	<=40	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	?||by two main valves, teeth or pores	?	?	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	1^2	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	2.5^5	?	?	?	?	yes	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	no	no	?	?	?	?	?	?	?	?	?	?	3^100	?	yes	yes	?	?	?	?	?	?	1^33	?	?	?	?	?	?	?	?	?	?	Medicago laciniata	Medicago	Fabaceae	Fabales
terrestrial	yellow	compound	teeth	bilaterally symmetrical	5||4	fused into a cup or tube	10	dry but does not split open	1.5^3	no	?||solitary||not fused	no	no	no	0	superior ovary and hypanthium	both pollen- and seed-producing parts	knob-like at the tip, and unbranched	2	yes	?	no marks	no	1	1	1	above the point of petal  attachment	yellow	thin, delicate, pigmented	no||yes	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	1^1.5	5	yes	not attached to petals	?	yes	no	?	?	?	?	?	?	?	?	?	?	?	1	splits into two valves, but has a single carpel like a pea pod (legume)	coiled in spirals before they split or fall	?	?	?	no||yes	?	?	0	height is greater than width	smooth or without markings	no	no	no	clear and watery	clear	herb	green	no	0	5^20	1^2	fuzzy or hairy	fuzzy or hairy	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	?	rectangular with rounded ends (oblong)||egg-shaped with the widest point above the middle (obovate)||roughly circular as wide as long (orbicular)||rhombic: roughly diamond-shaped	uniform	?	no	yes	at the basal margin	?	forward-pointing teeth	3	one	have a terminal leaflet (odd number of leaflets per axis)	?	yes	?	yes||no	at least one full leaf above the base	5^60	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	2^3	?	?||by two main valves, teeth or pores	blunt or rounded, with a notch at the tip (retuse)||ends abruptly in a  straight line as though cut off (truncate)	plain, without glands or branches, and not tangled||no	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	10^50	?	?	?	hairs without glands	<=1	0	?	abruptly	rectangular but with rounded ends (oblong)||egg-shaped with the widest point above the middle (obovate)	?	green or brown, and leaf-like in texture	green to brown	?	all about the same size	?	?	?	?	1.5^2	no||yes	no	4^6	have a hard and bony or firm and leathery texture	yes	?	no	no	symmetrical	no	flat (planar) at the edges	the secondary veins branch off at intervals from the primary vein	leafy (herbaceous)	the major veins branch, but do not rejoin	one main vein running from the base towards the tip	?	is dull or slightly shiny	10^20	?	?	all leaves are nearly similar in size, teeth, and length of stalks	yes	no	no	?	no	no	?	upright or angled outwards||trail at the base, but may turn upwards at the tips	?	?	?	?	?	30^100	?	no||yes	yes	5^10	?	no	?	2^4	?	?	?	?	?	?	?	?	?	?	?	>=0	Medicago lupulina	Medicago	Fabaceae	Fabales
