Leaf type	Flower petal color	Leaf arrangement	Leaf blade edges	Flower symmetry	Number of sepals, petals or tepals	Fusion of sepals and petals	Stamen number	Fruit type (general)	Bulbils	Petal and sepal colors	Fringed petal edges	Inflorescence type	Flower description	Wings on fruit	Calyx symmetry	Growth form	Parasitism	Spines on plant
simple	blue to purple or white	basal	teeth	bilaterally symmetrical	5	unfused	1 or 5	dry & splits open	no bulbils	blue to purple	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Viola sororia
compound	yellow	alternate	teeth	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Medicago disciformis
simple	blue to purple or pink to red	alternate	entire	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	blue to purple or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Borago officinalis
simple	white	alternate	entire	radially symmetrical	4 or 5	fused	3 or 4 or 5	dry & splits open or dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	parasitic on other plants	no spines or with spines	Cuscuta cephalanthi
simple	blue to purple or pink to red or white	alternate	teeth or entire	radially symmetrical	5	fused	5	dry & splits open	no bulbils	blue to purple or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Jasione montana
compound	white or yellow	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & doesn't split open	no bulbils	white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Lespedeza angustifolia
simple	?	alternate or opposite	teeth or entire	radially symmetrical	5 or 0	unfused or fused	5	dry & doesn't split open	no bulbils	green to brown	?	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Atriplex prostrata
simple	white	alternate	lobes or teeth or entire	radially symmetrical	5	fused	5	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Ellisia nyctelea
simple	blue to purple or white	alternate or opposite	teeth	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	blue to purple or white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Lunaria annua
compound	green to brown or pink to red or white	alternate	entire	bilaterally symmetrical	4 or 5	fused	10	dry & doesn't split open	no bulbils	green to brown or pink to red or white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium or superior ovary	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Desmodium canescens
compound	blue to purple or pink to red or white	alternate	lobes	radially symmetrical or bilaterally symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	blue to purple or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Torilis leptophylla
compound	yellow	alternate	teeth	radially symmetrical	5	unfused	13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Potentilla inclinata
simple	yellow	alternate or opposite	entire	radially symmetrical	5	unfused	5	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Linum striatum
simple	green to brown or white	alternate	entire	radially symmetrical	5	fused	6 or 7 or 8	dry & doesn't split open	no bulbils	green to brown or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Fallopia cilinodis
compound	blue to purple or pink to red or white	alternate	teeth	bilaterally symmetrical	4	unfused	6	dry & splits open	no bulbils	blue to purple or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Tarenaya hassleriana
simple	white	alternate	teeth or entire	radially symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Bupleurum lancifolium
simple	?	alternate	entire	radially symmetrical or bilaterally symmetrical	3	unfused	0 or 3	dry & doesn't split open	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Amaranthus viridis
simple	yellow	alternate	teeth or entire	radially symmetrical	4	unfused	6	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Neslia paniculata
compound	yellow	alternate	lobes or teeth	radially symmetrical	5	unfused	13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Potentilla recta
compound	other or white	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & splits open	no bulbils	other or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Vicia faba
compound	?	alternate	lobes or teeth	radially symmetrical	4 or 5	unfused	7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	no bulbils	green to brown or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Thalictrum venulosum
compound	blue to purple or white	alternate	entire	bilaterally symmetrical	4 or 5	fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	no bulbils	blue to purple or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Astragalus robbinsii
compound	blue to purple or white	alternate	teeth	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & splits open	no bulbils	blue to purple or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Cicer arietinum
compound	white	alternate	lobes or teeth or entire	radially symmetrical	4	unfused	4 or 5 or 6	dry & splits open	no bulbils	white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Cardamine hirsuta
simple	blue to purple or pink to red or yellow	alternate	teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	blue to purple or pink to red or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Erysimum capitatum
simple	?	alternate	teeth	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Dysphania anthelmintica
simple	blue to purple or pink to red	alternate	lobes or entire	radially symmetrical	5	fused	5	dry & splits open	no bulbils	blue to purple or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Phacelia linearis
compound	white	alternate	lobes or entire	radially symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Ptilimnium capillaceum
simple	green to brown or yellow	alternate	teeth or entire	radially symmetrical	4	unfused	8	dry & splits open	no bulbils	green to brown or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Rhodiola rosea
compound	blue to purple or pink to red or white or yellow	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & doesn't split open	no bulbils	blue to purple or pink to red or white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Lespedeza hirta
simple	blue to purple	opposite	lobes	radially symmetrical	5	unfused	10	dry & doesn't split open	no bulbils	blue to purple	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Geranium dissectum
simple	blue to purple	alternate	entire	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	blue to purple	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Anchusa azurea
simple	?	alternate	teeth	radially symmetrical	3 or 4	unfused or fused	8 or 9 or 10 or 11 or 12 or 13	dry & splits open	no bulbils	green to brown	?	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Acalypha virginica
simple	?	alternate	entire	radially symmetrical	5	fused	5	dry & splits open or dry & doesn't split open or fleshy	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Salsola kali
simple	?	alternate	teeth or entire	radially symmetrical	5 or 6 or 7	unfused	10 or 11 or 12 or 13	dry & splits open	no bulbils	orange or yellow	?	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Caltha palustris
compound	other or white or yellow	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & doesn't split open	no bulbils	other or white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Lespedeza capitata
compound	white	alternate	teeth	radially symmetrical	5	unfused	13	fleshy	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Rubus pubescens
compound or simple	yellow	alternate	lobes or teeth	radially symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Zizia aurea
simple	blue to purple or pink to red or white	alternate	lobes	radially symmetrical	5	unfused or fused	13	dry & doesn't split open	no bulbils	blue to purple or pink to red or white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Malva neglecta
simple	yellow	alternate	teeth or entire	radially symmetrical	4	unfused or fused	8	dry & splits open	no bulbils	yellow	not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Oenothera biennis
simple	pink to red	opposite	lobes	radially symmetrical	5	unfused	10	dry & doesn't split open	no bulbils	pink to red	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Geranium molle
compound	blue to purple or pink to red or white	alternate or opposite	teeth	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	blue to purple or pink to red or white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Cardamine diphylla
simple	pink to red or white	alternate	entire	radially symmetrical	5	fused	4 or 5	dry & splits open	no bulbils	pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	parasitic on other plants	no spines or with spines	Cuscuta epithymum
simple	blue to purple or white	alternate or opposite	entire	radially symmetrical	6	fused	6	dry & splits open	no bulbils	blue to purple or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Lythrum lineare
simple	yellow	alternate	entire	radially symmetrical	6 or 7	unfused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Sedum reflexum
simple	pink to red or white	alternate	entire	radially symmetrical	5	fused	5	dry & splits open	no bulbils	pink to red or white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Convolvulus arvensis
simple	green to brown or pink to red or white	alternate	entire	radially symmetrical	5	fused	8	dry & doesn't split open	no bulbils	green to brown or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Fallopia dumetorum
simple	pink to red or white	alternate	entire	radially symmetrical	5	fused	5	dry & splits open	no bulbils	pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Calystegia silvatica
simple	yellow	alternate	entire	radially symmetrical	5 or 6 or 7	unfused	6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	no bulbils	yellow	not fringed	one flower or branched umbel or corymb or raceme	superior ovary or inferior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Portulaca oleracea
simple	green to brown or pink to red	alternate	entire	radially symmetrical	6	fused	6	dry & doesn't split open	no bulbils	green to brown or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Rumex pallidus
simple	yellow	alternate	teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Erysimum repandum
simple	pink to red or white	alternate	entire	bilaterally symmetrical	4	unfused	6	dry & splits open	no bulbils	pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Iberis sempervirens
simple	white	alternate or opposite	entire	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Plagiobothrys reticulatus
simple	yellow	alternate or opposite	entire	radially symmetrical	5 or 6	fused	5	dry & splits open	with bulbils	yellow	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Lysimachia terrestris
simple	blue to purple	alternate	lobes or teeth	radially symmetrical	5	fused	5	dry & splits open	no bulbils	blue to purple	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Phacelia tanacetifolia
compound	yellow	alternate	teeth	radially symmetrical	4	unfused	13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Potentilla anglica
simple	yellow	alternate	lobes or teeth	radially symmetrical	5	unfused or fused	13	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Argemone mexicana
compound	pink to red or white	alternate	teeth	bilaterally symmetrical	4 or 5	fused	10	dry & splits open or dry & doesn't split open	no bulbils	pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Trifolium incarnatum
simple	green to brown or pink to red	alternate	entire	radially symmetrical	6	fused	6	dry & doesn't split open	no bulbils	green to brown or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Rumex longifolius
simple	green to brown or pink to red or white	alternate	entire	radially symmetrical	5	fused	6 or 7 or 8	dry & doesn't split open	no bulbils	green to brown or pink to red or white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Persicaria punctata
compound	?	alternate	lobes or teeth	radially symmetrical	4 or 5	unfused	7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	no bulbils	green to brown or white	?	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Thalictrum pubescens
compound	white	alternate	entire	bilaterally symmetrical	4 or 5	fused	5	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Dalea candida
simple	blue to purple or green to brown	alternate	entire	radially symmetrical	4 or 5	unfused	4 or 5	fleshy	no bulbils	blue to purple or green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Geocaulon lividum
simple	green to brown or pink to red	alternate	entire	radially symmetrical	6	fused	6	dry & doesn't split open	no bulbils	green to brown or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Rumex verticillatus
compound	white	alternate	lobes or teeth	radially symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	?	herb	not parasitic	no spines or with spines	Osmorhiza claytonii
compound	blue to purple or pink to red	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & splits open	no bulbils	blue to purple or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	vine	not parasitic	no spines or with spines	Strophostyles leiosperma
simple	yellow	alternate	lobes	radially symmetrical	5	fused	0 or 3	fleshy	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Citrullus lanatus
simple	green to brown or pink to red	alternate	entire	radially symmetrical	6	fused	6	dry & doesn't split open	no bulbils	green to brown or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Rumex alpinus
simple	green to brown or pink to red or white	alternate	entire	radially symmetrical	5	fused	6 or 8	dry & doesn't split open	no bulbils	green to brown or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	vine	not parasitic	no spines or with spines	Fallopia baldschuanica
simple	blue to purple or white	alternate	lobes or teeth or entire	radially symmetrical	5	fused	5	dry & splits open	no bulbils	blue to purple or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Phacelia purshii
simple	pink to red	alternate	entire	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	pink to red	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Persicaria coccinea
compound or simple	blue to purple or pink to red or white	alternate	lobes or entire	radially symmetrical or bilaterally symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	blue to purple or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Coriandrum sativum
simple	blue to purple or white	alternate	lobes or entire	radially symmetrical	5	fused	5	dry & splits open	no bulbils	blue to purple or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Gilia interior
simple	blue to purple or pink to red	alternate	entire	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	blue to purple or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Symphytum asperum
simple	?	alternate	entire	radially symmetrical or bilaterally symmetrical	5	fused	5	dry & splits open or dry & doesn't split open or fleshy	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Bassia hirsuta
simple	blue to purple or green to brown or orange or other or pink to red or white or yellow	alternate	entire	radially symmetrical	3 or 4 or 5 or 0	unfused or fused	5	dry & doesn't split open	no bulbils	blue to purple or green to brown or orange or other or pink to red or white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Crotonopsis elliptica
compound	white	alternate	lobes	radially symmetrical or bilaterally symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Heracleum maximum
simple	white	alternate or opposite	entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Draba reptans
simple	blue to purple or pink to red or white	alternate	lobes	radially symmetrical	5	unfused or fused	13	dry & doesn't split open	no bulbils	blue to purple or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Malva rotundifolia
simple	blue to purple or yellow	alternate	lobes	radially symmetrical	5	unfused or fused	13	dry & splits open	no bulbils	blue to purple or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Hibiscus trionum
compound	white	alternate	lobes	radially symmetrical or bilaterally symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	?	herb	not parasitic	no spines or with spines	Osmorhiza berteroi
compound	yellow	alternate	teeth	radially symmetrical	5	unfused	13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Potentilla gracilis
compound or simple	white	alternate	lobes or teeth or entire	radially symmetrical	4	unfused	6	dry & splits open or dry & doesn't split open or fleshy	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Lepidium squamatum
compound	white	alternate	lobes or teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Cardamine dentata
compound	blue to purple or pink to red or white	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & splits open	no bulbils	blue to purple or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Lathyrus latifolius
compound	?	alternate	teeth	radially symmetrical	4	unfused	4	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Sanguisorba canadensis
compound or simple	yellow	alternate	lobes or teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Sinapis alba
compound	yellow	alternate	teeth	radially symmetrical	5	unfused	13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Potentilla intermedia
compound	white	alternate	lobes	radially symmetrical or bilaterally symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Torilis japonica
simple	green to brown or pink to red or white	alternate	entire	radially symmetrical	5	fused	8	dry & doesn't split open	no bulbils	green to brown or pink to red or white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Persicaria hydropiperoides
simple	?	alternate	entire	radially symmetrical	2 or 3 or 4 or 5 or 0	unfused	0 or 3 or 4 or 5	dry & doesn't split open	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Amaranthus cannabinus
simple	blue to purple or white	alternate	entire	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	blue to purple or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Cynoglossum virginianum
compound	blue to purple or white	alternate	teeth	bilaterally symmetrical	4 or 5	fused	10	dry & doesn't split open	no bulbils	blue to purple or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Medicago sativa
simple	?	alternate	entire	radially symmetrical	5	fused	4 or 5	dry & doesn't split open	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Chenopodium pratericola
compound or simple	white	alternate	lobes or teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Boechera missouriensis
simple	pink to red or white	basal	entire	radially symmetrical	4 or 5 or 6 or 7	unfused or fused	4 or 5 or 6 or 7 or 8	dry & splits open	no bulbils	white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	insectivorous or not parasitic	no spines or with spines	Drosera rotundifolia
simple	white	alternate	entire	radially symmetrical	4	fused	8 or 10	fleshy	no bulbils	white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub	not parasitic	no spines or with spines	Gaultheria hispidula
simple	blue to purple	alternate or opposite	teeth	bilaterally symmetrical	5	fused	4	dry & splits open	no bulbils	blue to purple	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Chelone obliqua
